mas_vnr_area,totrms_abvgrd,full_bath,year_remod_add,year_built,1st_flr_sf,total_bsmt_sf,garage_cars,garage_area,gr_liv_area,overall_qual,saleprice
0.0,7,2,1995,1937,1265,942.0,1.0,240.0,1938,5,198000
0.0,9,2,2006,1895,1034,957.0,0.0,0.0,1991,5,119600
0.0,6,1,2006,1949,672,672.0,2.0,576.0,924,5,122900
0.0,9,2,1981,1981,2524,2524.0,2.0,542.0,2524,8,278000
0.0,7,1,1950,1929,792,792.0,2.0,400.0,1517,8,230000
0.0,6,1,1996,1995,1494,1494.0,2.0,481.0,1494,8,270000
0.0,5,1,1952,1952,948,948.0,2.0,410.0,948,6,125000
336.0,7,2,2008,2007,1718,1705.0,3.0,826.0,1718,8,297000
82.0,5,1,1958,1958,1142,160.0,1.0,384.0,1142,6,113500
0.0,6,2,1977,1977,925,757.0,1.0,336.0,1475,5,127000
480.0,7,2,1977,1977,1844,1844.0,2.0,546.0,1844,6,190000
320.0,6,1,1973,1973,1242,1242.0,2.0,528.0,1242,7,175500
0.0,5,1,1994,1994,990,990.0,1.0,384.0,990,5,146000
0.0,6,1,1965,1965,1256,1256.0,1.0,276.0,1256,5,147500
0.0,7,2,2006,2006,2076,2076.0,3.0,850.0,2076,10,465000
104.0,4,1,1978,1978,1110,1097.0,2.0,602.0,1110,5,165500
335.0,7,2,1954,1954,1050,1050.0,1.0,352.0,1795,5,131500
0.0,5,1,1965,1965,1040,1040.0,1.0,384.0,1040,5,129500
40.0,9,1,1950,1935,983,608.0,2.0,786.0,1873,8,257076
0.0,6,2,1960,1941,984,984.0,2.0,660.0,1604,5,117000
0.0,6,1,2000,1931,851,776.0,1.0,270.0,1502,7,149000
110.0,6,1,1954,1954,1063,1056.0,1.0,280.0,1063,5,128000
106.0,6,2,2004,2003,764,764.0,2.0,474.0,1626,7,155000
513.0,4,2,2000,2000,768,756.0,2.0,440.0,1524,6,166000
0.0,7,2,1950,1928,1328,1122.0,2.0,576.0,1981,4,135000
184.0,12,3,1978,1978,1392,1392.0,2.0,564.0,2784,7,250000
0.0,5,1,1970,1970,546,546.0,0.0,0.0,1092,4,76000
522.0,5,1,1951,1951,1575,216.0,2.0,400.0,1575,6,155000
143.0,7,1,1969,1969,663,663.0,1.0,299.0,1352,6,158000
0.0,4,2,2005,2004,600,600.0,2.0,480.0,1200,7,149500
0.0,5,1,1975,1954,936,936.0,1.0,240.0,936,5,121000
0.0,6,1,1953,1953,1040,1040.0,1.0,293.0,1040,6,136000
0.0,7,2,1996,1996,916,916.0,2.0,386.0,1636,6,173000
348.0,9,2,2007,1999,1164,1152.0,3.0,671.0,2270,8,290000
0.0,11,2,2007,2007,1184,1184.0,2.0,550.0,2610,8,303477
0.0,4,1,2001,1977,1483,1420.0,2.0,690.0,1483,7,270000
0.0,6,1,1950,1920,960,936.0,1.0,225.0,1740,5,122250
0.0,6,1,1955,1955,1382,1382.0,1.0,350.0,1382,5,153000
0.0,6,1,2007,2007,1120,1120.0,0.0,0.0,1120,5,147000
0.0,5,1,1995,1930,567,531.0,1.0,216.0,1098,7,148500
117.0,7,2,2004,2004,976,976.0,2.0,380.0,1708,7,130000
510.0,7,2,2006,2006,1802,1802.0,3.0,843.0,1802,9,372000
145.0,6,2,2005,2005,1506,1362.0,2.0,440.0,1506,7,213490
96.0,5,1,2010,2009,1508,1508.0,2.0,572.0,1508,7,308030
668.0,7,3,1997,1996,2032,1840.0,3.0,786.0,2032,7,300000
0.0,6,1,1959,1959,1194,655.0,2.0,539.0,1194,6,159500
50.0,7,2,2004,2004,970,970.0,2.0,380.0,1709,7,137500
228.0,7,2,2005,2005,1616,1616.0,3.0,834.0,1616,7,232000
0.0,4,1,1950,1930,768,768.0,2.0,440.0,768,6,93850
65.0,5,1,1950,1924,872,872.0,1.0,322.0,872,5,105000
0.0,4,1,1950,1927,520,520.0,1.0,240.0,520,4,68500
361.0,12,2,1960,1960,1105,1105.0,2.0,480.0,2274,5,154300
0.0,6,2,2003,1925,936,936.0,0.0,0.0,1601,5,129850
0.0,6,1,1950,1910,616,616.0,2.0,480.0,1232,5,114000
748.0,9,2,2009,2008,2234,2216.0,3.0,1166.0,2234,9,501837
0.0,7,1,1950,1915,876,876.0,3.0,720.0,1416,5,153900
0.0,5,1,2006,1971,864,864.0,2.0,576.0,864,4,130000
197.0,4,2,1997,1997,1189,1189.0,2.0,392.0,1189,6,160500
572.0,6,2,2006,2006,1666,1666.0,2.0,575.0,1666,9,310090
0.0,5,2,2003,2003,1200,1176.0,2.0,555.0,1200,7,184900
0.0,4,1,2000,1956,928,928.0,1.0,252.0,928,5,132000
128.0,6,2,1969,1969,1336,1288.0,2.0,502.0,1336,5,163000
120.0,4,2,2004,2004,600,600.0,2.0,480.0,1200,7,155000
0.0,7,2,1969,1969,1427,1427.0,2.0,516.0,1427,6,183000
254.0,7,2,2002,1996,1212,860.0,2.0,608.0,1992,7,211000
0.0,6,2,1994,1994,754,754.0,2.0,495.0,1540,7,184000
0.0,8,2,1979,1979,1535,0.0,2.0,400.0,1535,5,118858
86.0,6,1,1964,1964,1152,1152.0,2.0,484.0,1152,5,180500
30.0,5,2,2007,2006,1151,1141.0,2.0,484.0,1151,8,166000
54.0,6,1,1960,1960,1138,1138.0,2.0,480.0,1138,6,148000
0.0,6,1,1956,1956,1074,894.0,2.0,396.0,1074,5,124000
246.0,6,2,2005,2005,1561,1561.0,2.0,556.0,1561,9,277500
397.0,9,2,1995,1995,1358,1342.0,3.0,725.0,2726,8,350000
296.0,7,2,2004,2004,1884,1884.0,3.0,670.0,1884,9,387000
0.0,5,1,2002,1920,605,528.0,0.0,0.0,605,4,86000
0.0,6,3,2007,1976,1671,1426.0,2.0,550.0,1671,8,290000
0.0,5,1,1950,1900,797,245.0,0.0,0.0,797,3,44000
0.0,7,2,2002,2001,804,804.0,2.0,560.0,1961,6,215000
144.0,6,2,1972,1972,1193,1153.0,2.0,501.0,1193,5,146500
0.0,6,2,2000,2000,673,673.0,2.0,490.0,1382,7,165000
0.0,10,2,1950,1916,1664,714.0,1.0,216.0,2526,6,136000
902.0,4,1,1957,1957,1390,1705.0,2.0,550.0,1390,6,252000
106.0,6,2,2003,2003,764,764.0,2.0,474.0,1626,7,175500
0.0,7,1,1950,1939,868,690.0,2.0,400.0,1558,5,150000
0.0,6,1,1978,1960,1422,978.0,1.0,286.0,1422,5,139900
0.0,8,2,1992,1930,1128,1078.0,2.0,360.0,1573,5,162900
261.0,5,1,1962,1962,1116,1116.0,2.0,440.0,1116,6,160000
0.0,5,1,1950,1947,660,0.0,0.0,0.0,660,2,63900
144.0,7,2,1998,1978,1707,1140.0,2.0,479.0,1707,6,184000
132.0,6,1,1959,1959,1466,1466.0,2.0,528.0,1466,5,149900
260.0,5,2,2000,2000,1638,1614.0,2.0,495.0,1638,9,300000
275.0,7,2,1960,1960,1721,988.0,2.0,626.0,1721,5,145000
0.0,7,2,1997,1997,928,928.0,2.0,470.0,1764,6,231500
0.0,6,1,1969,1940,996,996.0,0.0,0.0,996,5,108000
0.0,6,1,1956,1956,1202,1202.0,1.0,304.0,1202,5,120000
57.0,5,1,1961,1961,988,988.0,2.0,572.0,988,5,128500
0.0,5,1,1950,1927,1028,1008.0,2.0,360.0,1028,5,115000
0.0,5,1,1950,1947,720,720.0,1.0,240.0,1284,5,110000
1050.0,9,2,1977,1977,1599,994.0,3.0,864.0,2944,9,150000
0.0,6,2,2004,2004,707,707.0,2.0,403.0,1414,8,178000
0.0,8,1,1990,1932,959,637.0,3.0,579.0,1609,7,199500
0.0,6,2,1998,1997,813,813.0,2.0,400.0,1525,6,183500
0.0,7,1,1967,1967,1092,624.0,1.0,288.0,1656,5,126000
0.0,4,2,1977,1977,1055,1055.0,2.0,440.0,1055,7,148500
0.0,7,2,2006,1939,676,676.0,2.0,720.0,1352,5,149000
0.0,6,2,1977,1977,855,855.0,2.0,440.0,1456,6,137900
0.0,6,1,1993,1993,1719,1719.0,2.0,473.0,1719,8,324000
0.0,5,1,1950,1925,864,864.0,0.0,0.0,864,5,98000
359.0,5,1,1973,1973,483,483.0,1.0,264.0,987,6,103400
0.0,6,1,1996,1875,780,780.0,0.0,0.0,1020,5,94000
108.0,6,2,2006,2006,1554,1554.0,2.0,627.0,1554,8,209500
662.0,10,3,2006,2006,1528,1528.0,3.0,758.0,3390,10,545224
0.0,7,1,2009,1912,780,780.0,0.0,0.0,1560,6,159900
0.0,4,1,1951,1951,864,864.0,2.0,400.0,864,4,141000
0.0,9,2,2000,2000,1008,982.0,2.0,431.0,1889,6,215000
0.0,6,1,2010,1962,1040,1040.0,1.0,260.0,1040,5,127000
0.0,5,1,1998,1954,1172,1172.0,1.0,366.0,1172,5,128000
0.0,6,1,2010,2010,1418,1642.0,3.0,852.0,1418,8,267916
0.0,6,1,1950,1931,959,884.0,1.0,560.0,1367,6,127500
500.0,7,3,2003,2003,495,0.0,2.0,672.0,1922,7,198500
210.0,7,2,1981,1981,1422,1422.0,2.0,576.0,1422,6,175500
144.0,7,2,2000,2000,985,985.0,2.0,486.0,1842,7,217500
0.0,9,1,1950,1915,888,888.0,2.0,572.0,1962,4,149500
165.0,5,1,2004,1966,1120,864.0,2.0,656.0,1120,5,148800
208.0,11,3,2006,2005,1992,1992.0,3.0,716.0,2868,9,556581
0.0,6,1,1957,1957,1478,1478.0,2.0,442.0,1478,6,156500
0.0,8,2,1996,1995,950,930.0,2.0,610.0,1995,7,237000
0.0,5,1,1985,1958,912,912.0,1.0,297.0,912,5,120000
0.0,6,2,2005,2005,1326,1326.0,2.0,388.0,1326,6,203000
0.0,5,2,1987,1987,1204,1191.0,2.0,461.0,1204,8,130000
360.0,7,1,1964,1964,798,780.0,2.0,442.0,1611,6,167900
160.0,6,1,1970,1970,960,960.0,2.0,576.0,960,4,129000
64.0,6,1,1996,1957,1236,1070.0,1.0,447.0,1236,5,134450
0.0,7,2,2007,1918,1416,816.0,2.0,576.0,1416,5,112000
360.0,7,2,1988,1988,946,929.0,2.0,619.0,1873,7,207000
0.0,11,2,1950,1922,1088,1040.0,0.0,0.0,2128,5,62500
106.0,6,2,2004,2003,764,764.0,2.0,474.0,1626,7,154000
0.0,5,1,1957,1957,816,816.0,1.0,308.0,816,5,129900
0.0,4,1,1976,1976,536,536.0,1.0,336.0,1112,5,85000
0.0,5,1,1950,1926,572,572.0,1.0,288.0,1111,7,116900
0.0,7,2,1978,1978,855,855.0,2.0,440.0,1441,6,148500
0.0,5,1,1950,1941,672,672.0,1.0,280.0,924,4,80000
0.0,5,1,1984,1984,1126,1060.0,2.0,506.0,1126,5,152000
0.0,6,1,1954,1954,992,381.0,1.0,319.0,992,5,155891
0.0,7,1,1950,1920,752,768.0,2.0,576.0,1376,6,165000
0.0,4,2,2010,2009,1218,1218.0,2.0,676.0,1218,7,204500
224.0,7,1,1995,1942,888,728.0,1.0,312.0,1644,5,146500
206.0,7,2,1978,1978,1601,1271.0,2.0,478.0,1601,7,157000
0.0,10,2,1999,1890,1313,1313.0,2.0,342.0,2495,7,184000
0.0,7,2,2003,2002,807,783.0,2.0,393.0,1509,6,183200
116.0,6,1,1962,1962,1092,1092.0,1.0,288.0,1092,5,139000
651.0,9,2,1994,1993,1325,1311.0,3.0,983.0,2418,7,341000
504.0,5,1,1971,1971,483,483.0,1.0,264.0,987,6,96000
0.0,5,2,2004,2003,1121,1121.0,2.0,440.0,1121,4,140000
0.0,6,1,1996,1957,1236,912.0,2.0,923.0,1236,6,149700
0.0,6,1,1975,1975,1074,1056.0,2.0,495.0,1074,5,153500
0.0,4,1,1952,1952,733,0.0,2.0,487.0,733,1,13100
252.0,8,2,2003,2003,884,884.0,2.0,543.0,1768,7,224900
0.0,6,2,2005,2005,1266,1257.0,2.0,453.0,1266,7,176000
337.0,9,2,2000,1992,2129,1683.0,2.0,541.0,2872,8,285000
84.0,6,2,2007,2007,1464,1485.0,3.0,754.0,1464,8,282922
309.0,8,2,1966,1966,1216,924.0,2.0,487.0,2157,7,226000
466.0,10,2,2006,2006,1264,1234.0,3.0,666.0,2576,8,361919
600.0,11,3,2006,2005,1414,1398.0,3.0,670.0,2798,9,457347
0.0,5,0,1976,1976,1743,966.0,2.0,529.0,1743,8,279000
0.0,5,2,1977,1977,1567,1567.0,2.0,714.0,1567,6,196000
189.0,6,2,1976,1976,1370,1090.0,2.0,479.0,1370,7,152000
368.0,12,2,1969,1969,1338,1248.0,4.0,968.0,2634,5,200000
198.0,6,2,2006,2005,1590,1570.0,3.0,754.0,1590,8,294900
140.0,6,2,2009,2008,1450,1450.0,3.0,788.0,1450,7,224243
0.0,7,2,1950,1915,846,832.0,2.0,528.0,1338,6,92000
0.0,8,2,2007,2007,728,728.0,2.0,400.0,1456,7,179540
922.0,8,2,2003,2003,2392,2392.0,3.0,968.0,2392,10,386250
0.0,4,1,1970,1970,530,530.0,1.0,297.0,992,4,106500
160.0,10,2,2008,2008,1026,1017.0,3.0,812.0,2007,10,310000
275.0,8,2,1998,1998,1108,1066.0,3.0,600.0,2385,7,252000
0.0,7,2,1950,1941,918,918.0,1.0,240.0,1646,7,164000
16.0,7,2,2007,2007,728,728.0,2.0,400.0,1456,7,177594
0.0,5,1,1980,1936,548,528.0,2.0,624.0,1040,5,123900
0.0,10,2,1950,1918,1370,1370.0,3.0,864.0,2624,6,239000
0.0,7,1,1977,1965,1264,1068.0,2.0,528.0,1264,5,169000
18.0,7,2,2004,2003,1557,1374.0,2.0,420.0,1557,7,234000
0.0,5,1,1977,1977,1287,957.0,2.0,541.0,1287,6,173000
180.0,5,1,1970,1970,1004,1004.0,2.0,480.0,1004,6,149000
0.0,6,2,2007,2007,1162,1162.0,2.0,483.0,1162,7,170000
0.0,6,2,2009,2008,1436,1436.0,2.0,529.0,1436,7,225000
0.0,6,1,2003,1963,960,960.0,1.0,300.0,960,5,144900
0.0,6,1,1968,1968,1196,1196.0,1.0,336.0,1196,5,144000
16.0,6,2,2005,2004,1269,1256.0,2.0,430.0,1269,8,192000
0.0,5,1,2005,1952,1031,1031.0,1.0,230.0,1031,5,145500
0.0,5,1,1998,1900,448,448.0,1.0,280.0,720,4,86900
90.0,6,1,1953,1953,1505,1505.0,2.0,505.0,1505,6,149500
0.0,5,1,1950,1938,954,920.0,1.0,240.0,954,5,119750
0.0,6,2,2006,2005,750,750.0,2.0,564.0,1500,6,173900
0.0,6,1,1961,1961,1050,1050.0,1.0,368.0,1050,5,136500
0.0,9,2,1994,1994,2079,2062.0,2.0,618.0,2687,8,270000
0.0,4,1,1975,1960,1252,1602.0,2.0,564.0,1252,6,235000
0.0,7,2,2000,1999,774,384.0,2.0,400.0,1430,7,156000
0.0,6,2,2004,2003,1114,1114.0,2.0,576.0,1114,5,153000
425.0,5,2,1999,1999,1224,1224.0,2.0,402.0,1224,6,165000
245.0,11,2,2007,2005,1134,1122.0,3.0,656.0,2504,9,325000
0.0,5,2,1950,1941,760,728.0,2.0,528.0,1355,5,140000
234.0,9,3,1963,1963,1497,741.0,2.0,658.0,2294,6,202500
766.0,7,1,2008,2008,1702,1702.0,3.0,1052.0,1702,9,367294
219.0,5,2,1989,1988,1509,1461.0,2.0,600.0,1509,6,175000
0.0,7,1,1970,1915,961,756.0,3.0,642.0,1717,7,140000
0.0,6,2,1985,1985,1240,1265.0,2.0,528.0,1240,7,174000
182.0,5,2,2005,2005,1166,856.0,2.0,400.0,1166,7,190000
0.0,7,2,2002,1910,764,504.0,0.0,0.0,1464,5,129000
136.0,6,1,1991,1959,1652,1592.0,2.0,510.0,1652,6,200000
576.0,8,2,1968,1968,1182,896.0,1.0,509.0,2142,6,193500
260.0,6,1,1964,1964,1092,1092.0,2.0,504.0,1092,6,145000
270.0,7,2,1950,1929,1122,1022.0,2.0,451.0,1671,7,218000
232.0,7,1,2002,1952,1488,0.0,2.0,569.0,1488,5,135000
150.0,6,1,1952,1952,1624,1444.0,1.0,240.0,1624,5,146500
256.0,6,2,2006,2005,1362,1362.0,2.0,460.0,1362,6,194700
210.0,6,2,2008,2007,1218,1218.0,2.0,462.0,1218,7,230348
0.0,5,1,1950,1923,1068,1124.0,1.0,288.0,1068,6,109500
0.0,6,2,1979,1979,1625,1625.0,2.0,576.0,1625,6,242500
0.0,5,2,1987,1987,1064,1064.0,2.0,504.0,1767,7,239000
176.0,6,1,2000,1954,1050,1050.0,1.0,286.0,1050,6,156000
0.0,5,1,1957,1957,907,907.0,1.0,352.0,907,4,109008
0.0,4,1,1950,1939,640,0.0,1.0,256.0,845,2,68104
466.0,9,2,1995,1995,1251,1242.0,3.0,751.0,2501,8,290000
0.0,6,1,1966,1966,1209,1209.0,2.0,504.0,1209,5,159000
0.0,5,1,1950,1937,453,348.0,1.0,231.0,906,4,87000
479.0,6,2,2002,2001,1601,1581.0,2.0,670.0,1601,8,272000
0.0,6,2,2006,2005,1336,1336.0,2.0,502.0,1336,7,198000
0.0,8,2,1985,1940,1095,801.0,2.0,440.0,1656,4,119164
0.0,5,1,1954,1954,1124,0.0,0.0,0.0,1124,5,93000
647.0,8,2,2001,2000,1008,982.0,2.0,431.0,1892,7,226750
0.0,7,2,1970,1900,1014,978.0,2.0,420.0,1699,3,95000
0.0,6,1,1950,1948,780,780.0,1.0,312.0,1416,6,139900
0.0,6,1,1966,1940,1306,728.0,0.0,0.0,1306,3,76500
0.0,4,1,2005,1940,672,672.0,1.0,308.0,672,4,86900
0.0,6,1,1968,1968,1160,1113.0,1.0,257.0,1160,5,152500
115.0,5,1,1953,1953,930,911.0,1.0,286.0,930,4,99000
0.0,5,1,1950,1940,708,420.0,0.0,0.0,708,4,82500
0.0,5,2,1992,1992,1575,1575.0,2.0,529.0,1575,6,179200
0.0,6,1,1966,1966,1059,1059.0,1.0,286.0,1059,5,142500
0.0,5,1,1964,1964,1005,1005.0,2.0,440.0,1005,4,115400
0.0,7,2,2001,2001,1057,1057.0,2.0,650.0,1929,7,226000
0.0,4,2,2005,2005,520,600.0,2.0,480.0,1200,7,144152
221.0,9,2,2003,2003,1804,1765.0,3.0,795.0,2690,8,370000
0.0,5,1,1984,1984,833,833.0,2.0,495.0,833,5,149900
0.0,8,2,2006,2006,728,728.0,2.0,429.0,1456,6,172785
0.0,5,1,2002,1950,864,864.0,2.0,720.0,864,5,129000
0.0,7,2,1998,1979,1586,1362.0,2.0,435.0,1586,6,181000
272.0,6,1,1956,1956,1370,1058.0,1.0,300.0,1370,5,148000
0.0,4,1,2002,2002,914,914.0,0.0,0.0,914,6,117250
16.0,7,2,2006,2005,1555,1373.0,2.0,430.0,1555,7,192500
0.0,6,2,1980,1980,716,716.0,2.0,452.0,1556,6,151000
0.0,5,1,1972,1972,882,882.0,2.0,461.0,882,5,112500
0.0,6,1,1950,1920,1167,915.0,2.0,495.0,1167,5,144000
714.0,6,2,2008,2007,1800,1800.0,3.0,944.0,1800,9,370967
0.0,6,2,1975,1975,855,855.0,2.0,440.0,1456,6,149900
95.0,7,2,2002,2002,831,831.0,2.0,493.0,1660,7,195000
170.0,7,2,1992,1992,812,384.0,2.0,392.0,1482,7,163900
136.0,7,2,1984,1984,1522,1190.0,2.0,552.0,1522,6,182000
246.0,9,2,2008,2008,2036,2190.0,3.0,780.0,2036,9,410000
0.0,5,2,1991,1991,1595,1582.0,2.0,672.0,1595,5,152000
172.0,8,2,2005,2005,891,891.0,2.0,462.0,1686,7,184000
200.0,8,2,1998,1997,1344,1344.0,4.0,784.0,1344,7,206300
0.0,8,2,1970,1970,1652,1652.0,3.0,928.0,1652,5,146500
0.0,5,1,1956,1956,832,832.0,1.0,263.0,1337,4,108000
143.0,8,3,1992,1968,1222,570.0,2.0,487.0,1920,7,170000
205.0,3,1,2004,2004,848,848.0,2.0,420.0,848,6,145000
0.0,4,2,1975,1975,1055,1057.0,2.0,440.0,1055,7,123000
0.0,6,1,1997,1996,1291,1291.0,2.0,431.0,1291,6,173000
0.0,5,1,2003,1928,720,624.0,2.0,484.0,720,6,105900
0.0,5,1,1973,1973,526,462.0,1.0,297.0,988,4,91000
0.0,7,2,2005,1949,986,1067.0,1.0,295.0,1523,5,158000
0.0,7,2,2004,2004,864,864.0,2.0,572.0,1728,7,190000
0.0,4,1,1995,1995,1239,1230.0,2.0,477.0,1239,8,217500
162.0,7,2,1958,1958,1151,1151.0,1.0,356.0,1955,5,165500
0.0,7,1,1950,1941,860,704.0,1.0,234.0,1564,7,174500
0.0,6,1,1954,1954,1204,416.0,1.0,312.0,1204,4,100000
108.0,6,1,1958,1958,1329,1329.0,1.0,312.0,1329,6,172000
0.0,5,1,1975,1975,879,864.0,2.0,440.0,879,5,120000
0.0,4,1,1950,1950,841,721.0,1.0,294.0,841,4,82000
0.0,6,1,1950,1947,900,784.0,2.0,649.0,1312,6,127000
0.0,8,1,1950,1917,1134,735.0,2.0,396.0,2058,6,129500
0.0,4,1,1984,1984,1360,1220.0,2.0,565.0,1360,8,187500
240.0,6,2,2003,2002,1786,1778.0,3.0,715.0,1786,8,300000
252.0,8,2,1971,1971,1097,825.0,2.0,495.0,1993,6,190000
0.0,7,2,1950,1920,986,951.0,1.0,280.0,1362,4,96000
100.0,7,2,2007,2006,1112,1092.0,2.0,438.0,1550,7,241000
0.0,8,1,1962,1962,1696,1140.0,1.0,349.0,1696,5,143900
0.0,5,1,1970,1970,546,546.0,1.0,286.0,1092,4,87550
412.0,6,2,2005,2005,1752,1752.0,2.0,576.0,1752,9,319900
184.0,11,2,2006,2006,1102,1094.0,3.0,675.0,2473,9,356383
0.0,7,2,2007,2007,1800,1800.0,2.0,702.0,1800,9,239000
320.0,9,2,1994,1993,1108,1080.0,3.0,783.0,2197,7,287500
0.0,7,1,1950,1941,854,720.0,2.0,660.0,1382,5,128500
0.0,7,2,2004,2004,847,847.0,2.0,433.0,1733,7,185088
0.0,7,2,2008,2008,1402,1402.0,2.0,625.0,1402,7,229800
0.0,5,1,1984,1984,887,864.0,1.0,288.0,887,5,124500
0.0,6,1,1968,1968,1051,1051.0,2.0,504.0,1051,5,142000
0.0,6,1,1950,1920,755,755.0,1.0,216.0,1510,6,149000
564.0,8,2,1973,1973,1656,1656.0,2.0,506.0,1656,5,135000
0.0,5,2,1976,1976,958,1078.0,2.0,440.0,958,6,128000
0.0,10,3,1993,1992,3228,3200.0,2.0,546.0,3228,8,430000
0.0,5,1,1968,1968,1040,1040.0,2.0,686.0,1040,5,145000
0.0,8,2,2003,1910,661,661.0,2.0,552.0,1250,5,139000
74.0,7,3,2003,1984,1140,585.0,2.0,477.0,1868,6,178000
468.0,10,2,2006,2005,1632,1620.0,4.0,1150.0,2790,10,460000
0.0,10,2,1994,1916,1445,844.0,2.0,441.0,2134,6,214500
0.0,10,2,1995,1916,948,686.0,0.0,0.0,1928,5,160000
298.0,8,2,1999,1999,1022,992.0,2.0,390.0,2060,7,214000
0.0,6,1,1998,1935,861,901.0,1.0,162.0,1378,6,128900
149.0,7,1,1975,1961,1622,1249.0,4.0,1356.0,1622,4,168000
0.0,8,2,2007,2007,955,955.0,3.0,880.0,1880,8,310013
0.0,5,1,1986,1986,1088,1074.0,2.0,461.0,1088,8,170000
0.0,6,1,1959,1959,1040,1040.0,1.0,286.0,1040,5,133700
0.0,7,1,1996,1923,900,602.0,1.0,180.0,1502,6,165000
604.0,5,1,1971,1971,483,483.0,1.0,264.0,987,6,89500
105.0,6,1,1958,1958,1095,588.0,1.0,264.0,1095,6,140000
50.0,7,2,2004,2004,970,970.0,2.0,380.0,1709,7,134000
0.0,7,2,1993,1992,844,836.0,2.0,462.0,1731,6,248500
0.0,3,0,2001,1965,960,648.0,1.0,364.0,960,4,145000
0.0,6,2,1975,1975,811,713.0,2.0,434.0,1552,6,179900
428.0,7,2,2007,2006,1795,1795.0,3.0,895.0,1795,8,147000
0.0,6,1,1991,1991,624,624.0,2.0,576.0,1274,5,136000
0.0,6,1,1950,1940,848,572.0,2.0,576.0,1196,6,128000
0.0,4,1,2001,1946,704,560.0,1.0,220.0,704,4,88750
0.0,5,1,1955,1955,972,972.0,1.0,305.0,972,5,122500
0.0,6,1,1950,1948,912,912.0,1.0,330.0,1458,6,97500
332.0,5,1,1963,1963,1008,1008.0,2.0,430.0,1008,6,135000
452.0,9,2,2007,2007,1828,1822.0,3.0,774.0,1828,9,314813
0.0,6,1,1982,1915,1013,1013.0,0.0,0.0,1526,3,85000
0.0,4,1,2000,1937,786,698.0,2.0,624.0,1176,6,134900
164.0,6,1,1999,1955,1057,1057.0,1.0,288.0,1057,5,137000
660.0,7,2,1995,1995,2113,2109.0,3.0,839.0,2113,8,350000
0.0,6,1,1975,1967,1387,943.0,1.0,300.0,1387,5,145000
365.0,9,2,2006,2005,1722,1704.0,3.0,814.0,2758,9,418000
0.0,5,1,1950,1920,840,798.0,1.0,250.0,840,3,64000
0.0,6,1,2000,1932,848,793.0,1.0,281.0,1520,5,159434
164.0,6,2,2007,2007,1542,1542.0,3.0,852.0,1542,8,260261
0.0,6,2,1952,1952,910,910.0,2.0,720.0,1385,5,166000
0.0,6,1,1962,1962,936,896.0,1.0,288.0,936,5,130000
0.0,6,1,1950,1941,824,824.0,1.0,240.0,1288,5,112000
148.0,6,2,1963,1963,1128,1120.0,2.0,525.0,1128,5,155000
84.0,8,2,2010,2009,774,774.0,3.0,680.0,1968,8,269500
0.0,6,1,1964,1964,1246,1246.0,2.0,441.0,1246,6,172000
0.0,6,1,1984,1940,960,800.0,1.0,240.0,1740,7,219500
0.0,5,1,1963,1963,925,925.0,2.0,484.0,925,5,133500
0.0,8,2,2000,2000,774,384.0,2.0,400.0,1430,7,170000
